sentence1,sentence2,similarity_score
China-EU 2020 Strategic Agenda for Cooperation released at 16th China-EU Summit,Full text: China-EU 2020 Strategic Agenda for Cooperation,4.400000095367432
It depends on what you want to have in your tank.,i think it depends what you want:,2.0
A close-up view of a horse's head.,A side view of a horse's head.,3.200000047683716
Close-up of a hummingbird.,A closeup of a hummingbird flying.,3.5999999046325684
"EU ministers were invited to the conference but canceled because the union is closing talks on agricultural reform, said Gerry Kiely, a EU agriculture representative in Washington.","Gerry Kiely, a EU agriculture representative in Washington, said EU ministers were invited but canceled because the union is closing talks on agricultural reform.",5.0
A woman is cutting an onion.,A woman is chopping onions.,4.800000190734863
"TVT Records sought $360 million in punitive damages and $30 million in compensatory damages, officials said.",The damages included $24 million in compensatory damages and $52 million in punitive damages for IDJ.,1.25
China launches first air-to-air missile from chopper,China court sentences Bo Xilai to life imprisonment for corruption,0.6000000238418579
The man has a orange shirt.,The woman has a orange shirt.,3.400000095367432
Ukrainian President Leonid Kuchma today cut short a visit to Latin America as a bitter border wrangle between Ukraine and Russia deteriorates further.,The dispute has led Ukrainian president Leonid Kuchma to cut short a state visit to Latin America.,3.5
"Schroeder cancelled his Italian holiday after Stefani refused to apologise for the slurs, which came after Berlusconi compared a German politician to a Nazi concentration camp guard.",Stefani's remarks further stoked tension after Italian Prime Minister Silvio Berlusconi last week compared a German member of the European Parliament to a Nazi concentration camp guard.,3.0
"In Kentucky, Democratic Attorney General Ben Chandler faces U.S. Rep. Ernie Fletcher.","Kentucky: Republican Ernie Fletcher, a three-term House member, is battling Democratic state Attorney General Ben Chandler.",3.799999952316284
Hawaii preps for first hurricane in 22 years,Hawaii bracing as first hurricane in 22 years approaches,5.0
The two dogs are playing fetch in the snow.,Two dogs are playing together in the grass.,2.200000047683716
Nine Pakistani troops killed in militant ambush,"Trade: Pakistan, India agree to take it a step ahead",0.800000011920929
I have found there is no single best way to increase size.,There are a very wide variety of solutions for resizing and sharpening images for use on the web.,2.5999999046325684
What the Pope's butler saw – aide arrested over Vatican leaks,Pope’s butler arrested in scandal over Vatican leaks,3.400000095367432
"n.r. mohanty stated that an agreement had been signed between the defense research and development organisation, hindustan aeronautics limited and the indian air force to upgrade india's ageing fleet of mig-27 m aircraft.","mohanty stated that the upgrade will be done soon as it has almost been finalised by the defense research and development organisation, hindustan aeronautics limited and the indian air force.",3.400000095367432
You want to start in the room that is the largest to make sure you have the straightest start.,"You will have to start with the clinic., and maybe move on to the insurance company.",1.0
A car is parking.,A cat is playing.,0.0
A pug dog wits on a yellow chair next to a green dumpster.,A bulldog sitting on a yellow chair beside a large waste receptacle.,3.200000047683716
"Added Mr. Prodi: ""Maybe, but the old age helps us to understand our strengths and our weakness.""","""Maybe, but the old age helps us to understand our strength and our weakness and the reality of the world.",3.200000047683716
Two men charged with terrorism offences,Saudi-born Nigerian charged with terrorism in New York,1.7999999523162842
A dog is wearing a gray jacket.,A dog laying in a pet jacket.,3.0
"Consumer groups are against the changes, saying they hurt individuality in markets.","Consumer groups oppose the changes, saying they would concentrate too many outlets in too few media empires.",3.5999999046325684
A red double decker bus on a crowded street.,A white bus partially in the snow on a public street.,2.0
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.199999809265137
U.S. and Turkey weigh no-fly zones for Syria,"Turkey, US weigh no-fly zones for Syria",4.800000190734863
A woman is cutting some herbs.,A woman is chopping cilantro.,2.799999952316284
"A Royal Duty is based on his experiences with Diana, Princess of Wales and letters allegedly to and from her.","The royal household was bracing itself for any more revelations in A Royal Duty, based on the former servant’s time with Diana, Princess of Wales.",2.75
Gazans fire 2 rockets into Israel; no injuries,Gazans fire 89 rockets; cabinet approves reserve call-up,1.399999976158142
Rimsha Masih released on bail,Mandela released from hospital,0.0
"Ukraine protest leaders name ministers, Russian troops on alert",Ukraine Refuses to Act Against Russian 'Provocation',1.2000000476837158
A man is playing guitar.,A cat is playing.,0.4000000059604645
"The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.","The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.",1.2000000476837158
A small white dog running across a lawn.,A small white dog running,3.200000047683716
Defiant Mugabe sworn in for seventh term blasts 'vile' West,Mugabe sworn in for another term,4.0
Many football players sitting on the ground.,A dog rolls on the ground.,0.0
The dog is barking at the toy.,A dog is barking at a toy.,5.0
A train sitting on the tracks near a field.,A baby is sitting in the grass.,0.0
A light-colored dog runs through the grass.,A dog runs through the grass.,4.0
"Palm Wednesday announced plans to acquire Handspring, a company started by Jeff Hawkins, regarded by many as the father of the Palm handheld.","Palm said on Wednesday it plans to buy Handspring, a company created by renegade Palm co-founder Jeff Hawkins.",4.0
Man in red shorts and white shirt kicking a soccer ball.,A black dog stands in the surf holding a red rubber ball.,0.0
a close up head of an ostrich.,A close up of an ostrich face.,4.400000095367432
Kardashian Divorce Ready for Trial,Hard-hit hotels ready for price war,0.0
A man is carrying another man.,A man sprays another man with water from a hose.,0.800000011920929
"Websites battle nasty comments, anonymity",Websites fight nasty comments by taking away anonymity,3.799999952316284
"Copper can be useful for certain tasks due to the its metallic properties (heats quickly, distributes heat evenly, etc.","Probably subjective, but ... Good clad stainless steel will give you much better cooking performance per dollar than copper.",1.399999976158142
A boy in a red sled is riding down the hill.,A multicolour dog in a red collar crouching on the grass.,0.0
A large jet on the ground at the airport.,A large airplane parked at the airport at night.,3.5999999046325684
Two little girls talk on the telephone.,Two girls talk on the phone.,4.5
3 Chinese tourists killed in Pakistan,Seven kidnappers killed in southern Nigeria,0.4000000059604645
You need to read a lot to know what you like and what you don't.,"Yes, you should create a portfolio site to showcase what you can do and what you've done.",0.0
There is a very full description of the various types of hormone rooting compound here.,It is meant to stimulate root growth - in particular to stimulate the creation of roots.,2.0
Syria must destroy chemical weapons,Libya ‘destroys last chemical weapons’,2.400000095367432
A black and white photo of a cow walking under a tree in a field.,A black and white dog looking at the camera.,1.0
A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.,2.5
Second teenager charged with murder,Brother of EastEnders actress Gemma McCluskie is charged with her murder,1.399999976158142
100 killed in new Darfur tribal clashes,'9 Dead' in New Darfur Tribal Clash,2.799999952316284
You don't have to know.,You have no need to do anything.,2.0
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,4.0
"17 killed, 133 wounded in bomb attacks in northern Iraq","2 killed, 6 wounded in clashes in northern Lebanon",0.6000000238418579
"The meat, poultry, butter, cheese and nuts were impounded a year ago at a LaGrou Cold Storage warehouse in Chicago.","The meat, poultry, butter, cheese and nuts were being stored by more than 100 wholesalers in Chicago.",1.7999999523162842
"A rule of thumb that I've heard is ""for small children, big dogs"".",Any breed of dog can be perfectly safe or extremely dangerous.,1.399999976158142
Man with knife arrested at entrance to Buckingham Palace,Man Charged After Buckingham Palace Arrest,2.200000047683716
You need to make up your mind.,You need to polish up on your logic skills.,0.6000000238418579
"Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.","Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.",4.75
7.2-magnitude quake hits Pakistan: CENC,7.7-magnitude earthquake hits SW Pakistan,3.799999952316284
Prince Philip hospitalised in London,"Britain's Prince Philip hospitalised, to miss jubilee",3.5999999046325684
Israeli forces detain 5 Palestinians in West Bank,Israeli Forces Arrest Five Palestinians across West Bank,4.800000190734863
Four Asian young people sitting in a den or living room.,A girl sitting in a living chair.,0.800000011920929
Philippine quake death toll climbs to 73,Death toll in Philippines quake jumps to 85,2.799999952316284
A boy plays baseball.,A man is playing baseball.,3.0
Headlines in major Iranian newspapers on Sept 27,Headlines in several Iranian newspapers on Oct 19,3.0
"""What can I say to you?"" he told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.","Mr. Powell told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.",2.799999952316284
Shares of Coke closed New York Stock Exchange trading Thursday at $44.01.,"In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $43.67.",2.400000095367432
"Waksal, in a letter to the court, said: ""I tore my family apart.","In seeking leniency, Waksal apologized to the court, his employees and his family.",2.0
"The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.","The Dow Jones Industrial Average ($DJ: news, chart, profile) rose 56 points, or 0.7 percent, to 8,588.",3.5999999046325684
The man is playing the guitar.,The man is peeling a potato.,0.5830000042915344
A panda is sliding down a slide.,A panda slides down a slide.,4.599999904632568
U.S. Drone Kills Five Militants in Pakistan,Six Police Officers Killed in Attacks in Dagestan,0.4000000059604645
saudi arabia is an absolute monarchy that has taken steps towards reform.,saudi arabia is an absolute monarchy and has a consultative council appointed by the government.,3.400000095367432
A man is dancing on the road.,A man is dancing.,3.25
Two men are setting up some electronic equpitment,Two dogs are wrestling on the ground in the snow.,0.0
it is a serious threat to international security.,it presents a major threat to global security.,4.199999809265137
"""I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'""","Gulping for air, I started crying and yelling at him, 'What do you mean?",3.799999952316284
"Likewise, the 30-year bond <US30YT=RR> slid 1-11/32 for a yield of 4.38 percent, up from 4.30 percent.","The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",1.7999999523162842
President heading to Bahrain,President Xi: China to continue help to fight Ebola,0.0
Annan warns talks of Syria risks,"Putin, Annan meet on Syria crisis",2.0
A group of four people in a dinner having cake.,Four people eating dessert around a table.,3.799999952316284
A man is cutting a rope with a sword.,The man slced through a thick rope with a sword.,4.400000095367432
Is Madeleine McCann Still Alive?,"Reopen Madeleine case, police urge",0.6000000238418579
chinese foreign ministry spokeswoman jiang yu stated that cyber hacking is a global issue.,chinese foreign ministry spokesman qin gang was asked to respond to cheney's speech on china's military development.,2.200000047683716
It is more deciding what you should do and what you should get others to do.,Point is: know what you want and don't be afraid to ask for it.,0.0
The lamb is looking at the camera.,A cat looking at the camera.,0.800000011920929
Boko Haram disrupts Nigerian elections,Press awash with Nigeria\'s general elections,1.0
"""But I do question the motives of a deskbound president who assumes the garb of a warrior for the purposes of a speech.""","Byrd, speaking from the Senate floor, said he questioned ""the motives of a deskbound president who assumes the garb of a warrior for purposes of a speech.""",3.0
A man has his son on his back,A man spent his time with his son.,2.400000095367432
A person plays a keyboard.,Someone is playing a keyboard.,5.0
"That took the benchmark 10-year note US10YT=RR down 9/32, its yield rising to 3.37 percent from 3.34 percent late on Thursday.","That saw the benchmark 10-year note US10YT=RR slip 5/32 in price, taking its yield to 3.36 percent from 3.34 percent late on Thursday.",3.4170000553131104
A black dog is running through the snow.,A black pit bull dog is running through the dirt.,2.200000047683716
Nearly nine million people in 'severe debt',Britain's debt timebomb: Nine million are in 'serious debt',4.199999809265137
A woman is riding a horse on the beach.,A woman is washing a bowl.,0.2000000029802322
Hijacker arrested after plane lands at Geneva Airport,Hijacked aircraft lands in Geneva,3.0
"Basically, the rule is that you must play the ball, and not the man, until someone catches the ball.","It is fairly simple to understand, somewhat harder to referee.",1.2000000476837158
"Several dead, 550 injured in Argentina train crash",49 feared dead in Buenos Aires train crash,1.399999976158142
It wouldn't stop joke marriages.,And I don't fight for marriage.,1.2000000476837158
"Before you want to start the study of a subject, figure out what you want to achieve.","As Eugene suggests, try to figure out what you want to achieve.",3.200000047683716
A young boy laying on a sofa with a dog.,A small boy laying on a sofa with a dog.,5.0
"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.",NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.,4.0
"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.","The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.",1.600000023841858
A man climbing a rock-face.,A man is climbing a rock wall.,4.599999904632568
The researchers found only empty cavities and scar tissue where the tumors had been.,"No tumors were detected; rather, empty cavities and scar tissue were found in their place.",4.0
Twitter reports blocking in Venezuela,Twitter says images blocked in Venezuela,4.0
"A seventh victim, a woman, died Tuesday night in the burn unit at childrens Hospital Medical Center of Akron.","A seventh person, a 21-year-old woman, was in critical condition in the burn unit at Akron Children's Hospital.",2.400000095367432
6.6 quake rocks Indonesia's Papua: USGS,6.6 quake rocks Indonesia's Papua: US Geological Survey,4.800000190734863
Boy feeding a sheep.,A boy feeding a sheep hay.,4.199999809265137
Actor Gazzara dead at 81,Actor Ben Gazzara dies at 81,4.400000095367432
Chinese shares close higher Tuesday,Chinese stocks close lower Thursday,1.600000023841858
A man is performing labor.,A man is performing today.,2.799999952316284
A boat with four sails is sailing on water.,Sail boat sailing on the water.,3.5999999046325684
Saudis to permit women to compete in Olympics,Saudi Women Allowed To Compete At Olympics,4.800000190734863
A moped in front of ruins.,White bus parked in grass in front of building.,0.6000000238418579
"Google CEO says Android important, not critical","Larry Page says Android important, not critical",4.0
Gunmen kidnap airline pilots in Lebanon,Gunmen kidnap 2 Turkish Airlines pilots in Lebanon,4.199999809265137
A man and woman are talking.,A man and woman is eating.,1.600000023841858
Beef burger mix recalled over salmonella concerns,Choc powder recalled over salmonella concerns,1.0
Two white dogs walking in the snow.,A tan dog with a black collar barking in the snow.,2.0
Singapore shares open 0.28% lower on Thursday,Singapore shares open 0.19% higher on Thursday,2.0
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,5.0
Cars driving near a model building.,Vehicles driving infant of an ornate building.,2.400000095367432
19 hurt in New Orleans shooting,Police: 19 hurt in NOLA Mother's Day shooting,4.400000095367432
"In a not-too-subtle swipe at Dean, he predicted Americans would not elect a Democrat ""who sounds an uncertain trumpet in these dangerous times.""","They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times.""",3.5
"In connection with the incident, I have acknowledged that I behaved inappropriately.""","""I have acknowledged that I behaved inappropriately,"" he said.",4.25
"49 killed, 148 wounded in violent attacks in Iraq","15 killed, 90 wounded in fresh attacks in Iraq",2.200000047683716
EU Set for New Sanctions on Iran,EU plans major new sanctions against Iran,4.400000095367432
South Korean President Sorry For Ferry Response,S. Korean president 'sorry' for ferry disaster,4.599999904632568
Brendsel and chief financial officer Vaughn Clarke resigned June 9.,The company's chief executive retired and chief financial officer resigned.,2.5999999046325684
"Mel Gibson's passion-stirring Biblical epic ""The Passion of Christ"" will open in the United States on Feb. 25 - Ash Wednesday on the Roman Catholic calendar.","Mel Gibson is negotiating with Newmarket Films to distribute his embattled Biblical epic ""The Passion of Christ"" in the United States.",2.0
A dog is standing in the sand.,A tan dog is standing in front of some plants.,2.0
I've never adjusted the length of time based on number of eggs.,I don't boil eggs enough to keep a feel for the timing...,3.0
A woman is cooking meat.,A man is speaking.,0.0
Originally Posted by jacko!,Originally Posted by IZZY!,1.2000000476837158
FTSE Bursa Malaysia update: 11.30am,FTSE Bursa Malaysia update: 3.00pm,3.400000095367432
A man is straining pasta.,A man plays a wooden flute.,0.0
Two women are sitting in a cafe.,Two men catching a fish in a swamp.,0.0
Federal Judge William Barbour said Tuesday he imposed the maximum sentence because Avants showed no remorse in the brutal slaying.,U.S. District Judge William Barbour said he imposed the maximum because Avants showed no remorse.,3.5999999046325684
Micronesia vice president to visit China,Vice President of Bolivia to visit China,2.0
4 Egyptian soldiers killed in Sinai ambush,3 Egyptian soldiers killed in Sinai car bombing,3.200000047683716
Hamas hangs three Gaza prisoners,Myanmar announces release of prisoners,0.6000000238418579
A machine is sharpening a pencil.,A girl is riding a bicycle.,0.0
Pro-Palestinian Activists March to UN Headquarters,Pro-Palestinian activists prepare flotilla to break Gaza blockade,2.0
A man is eating a pizza.,A man is eating a food.,3.5999999046325684
A boy plays violin on stage.,A boy is onstage playing the violin.,4.25
"If you understand yourself and your enemy, you will be far more likely to win any battle.",Another meaning behind this quote aside from probabilities of winning a theoretical battle is the importance of knowing/understanding others.,2.799999952316284
The cat shimmied under the bed.,A cat is crawling upside down under the couch.,2.0
He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.,But the North Korean nuclear crisis has dominated his time in office.,2.0
Charlie Rangel Censured Did anyone see the footage of this?,Did anyone see the footage of this?,3.0
A man is smelling two pizzas.,A woman is feeding a man.,0.2000000029802322
A group of people are nervous about crossing the water.,A group of people are on the water.,2.200000047683716
go figure You're asking me to prove a negative?,You're asking me to prove a negative?,4.599999904632568
An animal is chewing on something.,An animal is chewing on a key chain.,3.200000047683716
A man is working on his farm.,An old guy is working on his farm and a cow kicks him.,2.799999952316284
I've found an additional concept that may be related to the original question: prototype theory.,"According to current models of human concept learning, the answer to your question is both.",0.0
A common one is haddock and is in season pretty much year round.,"White fish are, as a rule, more delicately flavored than darker fleshed fish.",1.399999976158142
Young boys running along the pavement.,A black dog running along the edge of the ocean.,0.5
The ADRs fell 10 cents to $28.95 at 10:06 a.m. in New York Stock Exchange composite trading today.,"Shares of Fox Entertainment Group Inc., News Corp.'s U.S. media and entertainment arm, fell 45 cents to $26.85 in New York Stock Exchange composite trading.",1.399999976158142
A person is petting a monkey.,A man is holding a slow loris.,1.2000000476837158
A band is playing on stage.,A woman is dancing on a stage.,1.2000000476837158
A man is talking with other women on the beach.,A man is walking down the street.,0.0
to repeat: They are NOT as sovereign as they were before.,They are NOT as sovereign as they were before.,4.5
Hezbollah's Nasrallah warns US over anti-Islam film,Hezbollah calls for more anti-Islam film protests,2.799999952316284
Agribusiness: Mad cow disease found in California,USDA Confirms Case of Mad Cow Disease in California,4.199999809265137
You answered your own question.,You pretty much answered your own question.,5.0
A skunk is looking here and there.,A skunk looks at the camera.,2.400000095367432
"Mr Pollard said: ""This is a terrible personal tragedy and a shocking blow for James's family.","Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family.",3.400000095367432
A pot of liquid is at the center of a tinfoil covered plate.,A pot of food is placed in the center of a red tablecloth.,1.399999976158142
Business Week's online edition reported on Friday that WorldCom and the SEC could announce a settlement as early as Monday.,"BusinessWeek Online has learned that the settlement could come as early as Monday, May 19.",3.200000047683716
A black cow and a brown cow stands in a plain in front of an uprooted tree.,A black cow and a brown cow standing in front of a small copse of trees in a field.,4.199999809265137
A man is lifting a car.,A man is climbing a wall.,1.399999976158142
Spain jobless rate hits new high,Spain's jobless claims hit new high,4.199999809265137
It rather depends on which country you're in.,That depends on which country you are in.,5.0
"In the year-ago period, Pearson posted a 26 million pre-tax profit.",A year ago the firm posted a profit of 26 million pounds.,3.181999921798706
"No, none of those factors account for the recent warming.","You don't know if those factors account for the warming, or not.",3.0
UN presses need for major boost in Syrian aid,UN chief presses for major boost in Syrian aid,4.800000190734863
A person is writing.,A person is writing with a pencil.,3.5999999046325684
Black train on train tracks.,A train on the train tracks.,4.099999904632568
A sheep stands on a hillside.,A large sheep standing on a hill.,4.0
No update on Nelson Mandela's condition,Nelson Mandela's condition improves,2.200000047683716
The child's bike got wet.,She is putting away the bike.,1.2000000476837158
A man is running.,A man is mooing.,1.0
About 120 potential jurors were being asked to complete a lengthy questionnaire.,The jurors were taken into the courtroom in groups of 40 and asked to fill out a questionnaire.,3.200000047683716
Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market.,The stock rose 48 cents to $30 yesterday in Nasdaq Stock Market trading.,2.200000047683716
Swiss vote on highest minimum wage,Swiss cast ballots on world's highest minimum wage,4.599999904632568
Mars rover collects first bedrock sample,Wawrinka reaches first grand slam final,0.0
A woman is dancing in the rain.,A woman is dancing in railway station.,2.0
Faction Names Bianca Ojukwu APGA National Leader,Bianca Ojukwu becomes APGA national leader,4.199999809265137
Gains in financial stocks push up European equities,British Christians take complaints to European court,0.0
"I feel your pain - I absolutely pour with sweat with any vigorous exercise, even in cool conditions.","Sweat rate is sweat rate, you can't really control it.",1.0
You need to read a lot to know what you like and what you don't.,"You have to decide how much you want to demand, and what unmet demands you can live with.",0.0
A man crouching and holding a camera.,The crouching man is holding a large camera.,4.599999904632568
A man dives into a pool.,A man is diving into a pool.,5.0
It estimated on Thursday it has a 51 percent market share in Europe.,Boston Scientific said it has gained 51 percent of the coated-stent market in Europe.,2.799999952316284
All the same methods of analysis that are used with spoken languages apply successfully to signed languages.,One idea that's been going around at least since the 80s is that you can distinguish between Holds and Moves.,0.2000000029802322
US government 'on the edge of shutdown',Obama rejects GOP offer to ease shutdown,2.400000095367432
Sienna Miller testifies at UK phone hacking trial,Sienna Miller attacks press for ‚Äėtitillating‚Äô reports at hacking trial,3.0
"One killed, 40 injured in Mexico candy factory blast","Three killed, 21 injured in two road mishaps",0.800000011920929
A little boy and a little girl playing together outside.,A young boy and a young girl walking towards each other,2.0
Government promises action on Heathrow queues,Finance minister promises no new taxes,0.4000000059604645
'Israeli' arrested in Yemen Mossad spy,Israeli forces detain 2 in Hebron arrest raid,1.600000023841858
a woman sitting on a sofa holding a baby.,Bird sitting on a log in a lake.,0.4000000059604645
The euro has slipped nearly four percent since matching a record peak of around $1.1935 only last week and hitting an all-time high of 140.90 yen in late May.,The euro has slipped as much as four cents since matching a record peak near $1.1935 last week and hitting a record high of 140.90 yen in late May.,4.333000183105469
A man is playing a guitar.,Someoen is playing guitar.,3.5999999046325684
A man is running on a street.,A man plays the guitar.,0.800000011920929
Couple sailing in a small sailboat.,Two men sailing in a small sailboat.,3.0
A man is running.,A man is running down a road.,3.5
KL shares higher at mid-afternoon,KL shares lower at mid-morning,1.600000023841858
Two kids splashing in the water.,Two dogs play together on the bed.,0.0
A boy is checking a calender.,A boy is looking at a calendar.,3.799999952316284
Domestic cat looking out window.,A white cat looking out of a window.,3.5999999046325684
Romney wins big in Puerto Rico primary,Romney wins Illinois primary,1.5
Police disperse protest in east Sudan - witnesses,Police disperse east China chemical plant protesters,1.600000023841858
A green steam engine traveling on the railroad tracks.,A black steam train traveling on the railroad tracks.,3.0
South Korean economic growth falls to 3-year low,S. Korean economic growth falls to near 3-year low,4.599999904632568
Black and white photo of couch with purse at one end.,a black and white photo of a cow under a tree.,0.0
A man is dancing.,A man is singing.,1.25
Thailand: Iranians planned to attack Israelis,Malaysia to extradite Iranian for attack on Israelis,1.0
"The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.","The Dow Jones industrial average fell 10.89 points, or 0.11 percent, to 9,837.94.",3.400000095367432
sheik doon salad ilmi said civilian casualties resulting from overnight mortar and rocket attacks happen every day.,sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,3.5999999046325684
Philippe becomes king of Belgium,Philippe ascends throne of divided Belgium,4.0
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,3.75
"Bush turned out a statement yesterday thanking the commission for its work, and said, ""Our journey into space will go on.""","Mr. Bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work, and saying, ""Our journey into space will go on.""",3.5999999046325684
A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,4.0
"""We are expending all available resources toward the investigation,"" said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle.","""We are aware of the situation,"" said Assistant US Attorney Todd Greenberg, a counter-terrorism prosecutor in Seattle.",2.6670000553131104
The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,5.0
ukraine almost has all of the necessary approvals to join the european space agency's program.,france is a leader in the european space agency.,1.600000023841858
Mandela's condition has 'improved',Mandela's condition has 'worsened over past 48 hours',1.0
